Season,Team,PPG
2017,Atlanta,1.62
2018,Atlanta,2.03
2019,Atlanta,1.71
2020,Atlanta,0.96
2021,Atlanta,1.5
2022,Atlanta,1.18
2023,Atlanta,1.5
2024,Atlanta,1.18
2021,Austin,0.91
2022,Austin,1.65
2023,Austin,1.15
2024,Austin,1.24
2022,Charlotte,1.24
2023,Charlotte,1.26
2024,Charlotte,1.5
1998,Chicago,1.75
1999,Chicago,1.5
2000,Chicago,1.78
2001,Chicago,1.96
2002,Chicago,1.32
2003,Chicago,1.77
2004,Chicago,1.1
2005,Chicago,1.53
2006,Chicago,1.47
2007,Chicago,1.33
2008,Chicago,1.53
2009,Chicago,1.5
2010,Chicago,1.2
2011,Chicago,1.26
2012,Chicago,1.68
2013,Chicago,1.44
2014,Chicago,1.06
2015,Chicago,0.88
2016,Chicago,0.91
2017,Chicago,1.62
2018,Chicago,0.94
2019,Chicago,1.24
2020,Chicago,1
2021,Chicago,1
2022,Chicago,1.15
2023,Chicago,1.18
2024,Chicago,0.88
2005,Chivas USA,0.56
2006,Chivas USA,1.34
2007,Chivas USA,1.77
2008,Chivas USA,1.43
2009,Chivas USA,1.5
2010,Chivas USA,0.93
2011,Chivas USA,1.06
2012,Chivas USA,0.88
2013,Chivas USA,0.76
2014,Chivas USA,0.97
2019,Cincinnati,0.71
2020,Cincinnati,0.7
2021,Cincinnati,0.59
2022,Cincinnati,1.44
2023,Cincinnati,2.03
2024,Cincinnati,1.74
1996,Colorado,0.91
1997,Colorado,1.19
1998,Colorado,1.38
1999,Colorado,1.5
2000,Colorado,1.34
2001,Colorado,0.88
2002,Colorado,1.54
2003,Colorado,1.33
2004,Colorado,1.37
2005,Colorado,1.41
2006,Colorado,1.28
2007,Colorado,1.17
2008,Colorado,1.27
2009,Colorado,1.33
2010,Colorado,1.53
2011,Colorado,1.44
2012,Colorado,1.09
2013,Colorado,1.5
2014,Colorado,0.94
2015,Colorado,1.09
2016,Colorado,1.71
2017,Colorado,0.97
2018,Colorado,0.91
2019,Colorado,1.24
2020,Colorado,1.56
2021,Colorado,1.79
2022,Colorado,1.26
2023,Colorado,0.79
2024,Colorado,1.47
1996,Columbus,1.16
1997,Columbus,1.22
1998,Columbus,1.41
1999,Columbus,1.41
2000,Columbus,1.19
2001,Columbus,1.73
2002,Columbus,1.36
2003,Columbus,1.27
2004,Columbus,1.63
2005,Columbus,1.19
2006,Columbus,1.03
2007,Columbus,1.23
2008,Columbus,1.9
2009,Columbus,1.63
2010,Columbus,1.67
2011,Columbus,1.38
2012,Columbus,1.53
2013,Columbus,1.21
2014,Columbus,1.53
2015,Columbus,1.56
2016,Columbus,1.06
